video_id,ts,tid,p_state,p_event,R,trigger
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.033,1,0.514,0.000,0.031,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.160,3,0.624,0.000,0.037,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.192,3,0.800,0.000,0.078,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.240,3,0.728,0.000,0.106,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.272,3,0.492,0.000,0.114,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.304,3,0.777,0.000,0.138,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.336,3,0.702,0.000,0.153,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.368,3,0.657,0.000,0.162,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.400,3,0.618,0.000,0.166,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.432,3,0.766,0.000,0.179,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.464,3,0.752,0.000,0.188,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.496,3,0.799,0.000,0.199,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.528,3,0.579,0.000,0.194,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.560,3,0.771,0.000,0.201,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.608,3,0.771,0.000,0.207,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.640,3,0.782,0.000,0.213,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.672,3,0.813,0.000,0.219,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.704,3,0.750,0.000,0.220,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.736,3,0.773,0.000,0.222,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.768,3,0.710,0.000,0.221,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.800,3,0.795,0.000,0.224,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.832,3,0.748,0.000,0.224,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.864,3,0.767,0.000,0.225,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.896,3,0.808,0.000,0.229,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.928,3,0.820,0.000,0.232,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.976,3,0.849,0.000,0.237,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.008,3,0.750,0.000,0.234,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.040,3,0.848,0.000,0.238,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.072,3,0.863,0.000,0.243,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.104,3,0.828,0.000,0.244,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.136,3,0.823,0.000,0.244,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.168,3,0.539,0.000,0.228,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.200,3,0.656,0.000,0.222,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.232,3,0.655,0.000,0.217,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.264,3,0.372,0.000,0.196,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.312,3,0.733,0.000,0.200,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.344,3,0.732,0.000,0.204,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.376,3,0.701,0.000,0.205,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.408,3,0.706,0.000,0.207,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.440,3,0.467,0.000,0.193,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.472,3,0.508,0.000,0.185,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.504,3,0.551,0.000,0.181,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.536,3,0.718,0.000,0.188,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.568,3,0.764,0.000,0.196,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.600,3,0.660,0.000,0.197,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.632,3,0.585,0.000,0.192,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.680,3,0.788,0.000,0.201,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.712,3,0.512,0.000,0.192,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.744,3,0.641,0.000,0.192,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.776,3,0.725,0.000,0.197,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.808,3,0.672,0.000,0.198,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.840,3,0.732,0.000,0.202,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.872,3,0.708,0.000,0.204,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.904,3,0.720,0.000,0.207,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.936,3,0.705,0.000,0.208,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.968,3,0.793,0.000,0.214,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.048,6,0.684,0.000,0.041,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.080,6,0.702,0.000,0.075,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.112,6,0.736,0.000,0.104,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.144,6,0.639,0.000,0.122,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.176,6,0.692,0.000,0.139,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.176,8,0.565,0.000,0.034,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.208,6,0.357,0.000,0.132,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.208,8,0.820,0.000,0.076,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.240,6,0.490,0.000,0.135,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.240,8,0.773,0.000,0.107,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.272,6,0.465,0.000,0.136,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.272,8,0.691,0.000,0.127,0
