video_id,ts,tid,p_state,p_event,R,trigger
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.033,1,0.514,0.000,0.031,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.160,3,0.624,0.000,0.037,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.192,3,0.800,0.000,0.078,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.240,3,0.728,0.000,0.106,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.272,3,0.492,0.064,0.117,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.304,3,0.777,0.145,0.146,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.336,3,0.702,0.140,0.164,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.368,3,0.657,0.051,0.173,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.400,3,0.618,0.077,0.179,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.432,3,0.766,0.125,0.194,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.464,3,0.752,0.236,0.210,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.496,3,0.799,0.245,0.225,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.528,3,0.579,0.109,0.219,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.560,3,0.771,0.263,0.232,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.608,3,0.771,0.272,0.243,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.640,3,0.782,0.204,0.249,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.672,3,0.813,0.195,0.256,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.704,3,0.750,0.224,0.259,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.736,3,0.773,0.255,0.264,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.768,3,0.710,0.280,0.265,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.800,3,0.795,0.228,0.269,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.832,3,0.748,0.272,0.271,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.864,3,0.767,0.060,0.265,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.896,3,0.808,0.054,0.263,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.928,3,0.820,0.253,0.269,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,0.976,3,0.849,0.188,0.274,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.008,3,0.750,0.000,0.264,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.040,3,0.848,0.000,0.262,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.072,3,0.863,0.315,0.274,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.104,3,0.828,0.289,0.281,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.136,3,0.823,0.359,0.288,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.168,3,0.539,0.381,0.278,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.200,3,0.656,0.420,0.279,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.232,3,0.655,0.344,0.276,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.264,3,0.372,0.312,0.256,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.312,3,0.733,0.317,0.261,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.344,3,0.732,0.257,0.263,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.376,3,0.701,0.345,0.266,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.408,3,0.706,0.416,0.272,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.440,3,0.467,0.366,0.260,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.472,3,0.508,0.391,0.254,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.504,3,0.551,0.334,0.250,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.536,3,0.718,0.319,0.256,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.568,3,0.764,0.413,0.267,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.600,3,0.660,0.386,0.269,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.632,3,0.585,0.416,0.267,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.680,3,0.788,0.415,0.277,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.712,3,0.512,0.410,0.269,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.744,3,0.641,0.414,0.270,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.776,3,0.725,0.436,0.277,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.808,3,0.672,0.432,0.279,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.840,3,0.732,0.385,0.283,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.872,3,0.708,0.336,0.282,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.904,3,0.720,0.451,0.287,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.936,3,0.705,0.417,0.289,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,1.968,3,0.793,0.382,0.294,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.048,6,0.684,0.000,0.041,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.080,6,0.702,0.000,0.075,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.112,6,0.736,0.000,0.104,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.144,6,0.639,0.411,0.138,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.176,6,0.692,0.438,0.169,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.176,8,0.565,0.000,0.034,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.208,6,0.357,0.453,0.175,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.208,8,0.820,0.000,0.076,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.240,6,0.490,0.454,0.188,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.240,8,0.773,0.000,0.107,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.272,6,0.465,0.461,0.196,0
datasets/gmdcsa24/Subject 3/Fall/01.mp4,2.272,8,0.691,0.000,0.127,0
